idx,sentence,label
23699,undone by a sloppy script ,0
31123,"frailty '' offers chills much like those that you get when sitting around a campfire around midnight , telling creepy stories to give each other the willies . ",1
48584,... manages to embody the worst excesses of nouvelle vague without any of its sense of fun or energy . ,0
60644,"mostly told through on-camera interviews with several survivors , whose riveting memories are rendered with such clarity that it 's as if it all happened only yesterday ",1
12663,"a beautiful , aching sadness ",1
13632,though it pretends to expose the life of male hustlers ,0
56697,have given audiences the time of day by concentrating on the elements of a revealing alienation among a culture of people who sadly are at hostile odds with one another through recklessness and retaliation ,1
19928,playwriting ,1
56922,"bland , surfacey ",0
11395,much funnier film ,1
12820,"is busy contriving false , sitcom-worthy solutions to their problems ",0
28047,sanctimonious ,0
16100,remind them that hong kong action cinema is still alive and kicking ,1
7311,suited neither ,0
48863,"a wishy-washy melodramatic movie that shows us plenty of sturm und drung , but explains its characters ' decisions only unsatisfactorily . ",0
52150,'m left slightly disappointed that it did n't . ,0
42432,kicks that it ends up being surprisingly dull ,0
29367,"'d probably turn it off , convinced that you had already seen that movie ",0
41233,exceptional detail ,1
38524,"every once in a while a film arrives from the margin that gives viewers a chance to learn , to grow , to travel . ",1
