idx,sentence,label
201,If only it actually worked .,1
202,When simple tasks become impossible .,1
203,As if that explains anything .,1
204,If the director intended to confuse he succeeded .,1
205,When silence is the only output .,1
206,As per usual disappointment .,1
207,If this is comedy then I am lost .,1
208,When 404 becomes the homepage .,1
209,As the credits rolled relief .,1
210,If you enjoy watching paint dry .,1
211,When the dialogue hurts .,1
212,As a fan deeply disappointed .,1
213,If I could give zero stars .,1
214,When effects replace story .,1
215,As expected failed again .,1
216,If you value your money run .,1
217,When the main character is this unlikable .,1
218,As the plot holes piled up .,1
219,If this won awards the system is broken .,1
220,When I left the theater angry .,1
221,Although technically edible .,1
222,Because... lag .,1
223,Unless you like static .,1
224,While the concept was okay execution flat .,1
225,Once broken forever broken .,1
226,Since the update silence .,1
227,Before the inevitable crash .,1
228,After months broken arrival .,1
229,As soon as opened returned .,1
230,If this is the future count me out .,1
231,When the engine makes that noise .,1
232,Although looks nice feels cheap .,1
233,Because of the constant crashing .,1
234,Unless you have infinite patience .,1
235,While claimed waterproof leaked .,1
236,Once saw the price walked out .,1
237,Since changing the recipe tasteless .,1
238,Before the first act was over left .,1
239,After three attempts failed .,1
240,As the soup got cold congealed .,1
241,If silence is golden this is lead .,1
242,When focus is visuals story suffers .,1
243,Although free felt ripped off .,1
244,Because cramped numb legs .,1
245,Unless refund not coming back .,1
246,While trailer great movie letdown .,1
247,Once you notice unsee .,1
248,Since new management drop in quality .,1
249,Before believing hype read reviews .,1
250,After third break changed channel .,1
251,As connection dropped gave up .,1
252,If it works at all poorly .,1
253,When instructions vague impossible .,1
254,Although polite unhelpful .,1
255,Because hidden fees double price .,1
256,Unless satire offensive .,1
257,While appreciated effort amateurish .,1
258,Once cracked touch stopped .,1
259,Since installed slower .,1
260,Before signing up check cancellation .,1
261,After eating sick .,1
262,As paint dried peeled .,1
263,If this is best hate to see worst .,1
264,When music louder than dialogue .,1
265,Although premium feels budget .,1
266,Because pacing slow lifetime .,1
267,Unless low expectations disappointed .,1
268,While first half okay ending ruined .,1
269,Once gloss wears off plastic .,1
270,Since the beginning bad feeling .,1
271,Before purchase look elsewhere .,1
272,After one wash faded .,1
273,As expected no wifi .,1
274,If logic matters skip .,1
275,When product breaks day one .,1
276,Although original idea acting killed .,1
277,Because internet required useless on planes .,1
278,Unless patch do not download .,1
279,While tried best hopeless .,1
280,Once is enough .,1
281,Since no one laughed not comedy .,1
282,Before wasting evening do something else .,1
283,After excitement boredom .,1
284,As smell permeated lost appetite .,1
285,If that was a twist nonsense .,1
286,When camera shakes sickness .,1
287,Although specs good lagging .,1
288,Because poor lighting blind .,1
289,Unless you enjoy frustration .,1
290,While cheap not value .,1
291,Once warranty expired died .,1
292,Since audio sync unwatchable .,1
293,Before intro finished bored .,1
294,After hours fixing threw away .,1
295,As queue longer patience shorter .,1
296,If this is spicy bland .,1
297,When arrived empty .,1
298,Although followed recipe bland .,1
299,Because login failed locked out .,1
300,Unless improved failure .,1
